step,time_hours,time_seconds,time_minutes,Explore-Inner_x_m,Explore-Inner_y_m,Explore-Inner_mode,Explore-Inner_charge_station_id,Explore-Mid_x_m,Explore-Mid_y_m,Explore-Mid_mode,Explore-Mid_charge_station_id,Explore-Outer_x_m,Explore-Outer_y_m,Explore-Outer_mode,Explore-Outer_charge_station_id,Drone-3m_x_m,Drone-3m_y_m,Drone-3m_mode,Drone-3m_charge_station_id,Drone-6m_x_m,Drone-6m_y_m,Drone-6m_mode,Drone-6m_charge_station_id,Drone-9m_x_m,Drone-9m_y_m,Drone-9m_mode,Drone-9m_charge_station_id
55,0.0015277777777777779,5.5,0.09166666666666666,14.2255,8.438,WAIT_PV,-1,6.731651559414789,12.735297029161028,WORK,-1,5.999762717523646,1.407312987337023,WORK,-1,7.668093396226415,6.636785849056604,WORK,-1,10.797462264150944,11.341977358490567,WORK,-1,15.426977358490566,6.38826603773585,WORK,-1
56,0.0015555555555555557,5.6000000000000005,0.09333333333333334,14.2255,8.438,WAIT_PV,-1,6.646327339122184,12.683145543741542,WORK,-1,5.909275462147254,1.4498812456341101,WORK,-1,7.669435094339622,6.646323773584905,WORK,-1,10.808523396226416,11.336066037735849,WORK,-1,15.40688603773585,6.389789056603774,WORK,-1
57,0.0015833333333333335,5.700000000000001,0.09500000000000001,14.2255,8.438,WAIT_PV,-1,6.5610031188295785,12.630994058322056,WORK,-1,5.818788206770861,1.4924495039311974,WORK,-1,7.6707767924528305,6.655861698113207,WORK,-1,10.819584528301887,11.330154716981133,WORK,-1,15.386794716981132,6.391312075471698,WORK,-1
58,0.0016111111111111111,5.8,0.09666666666666666,14.2255,8.438,WAIT_PV,-1,6.475678898536973,12.57884257290257,WORK,-1,5.728300951394469,1.5350177622282846,WORK,-1,7.672118490566038,6.66539962264151,WORK,-1,10.830645660377359,11.324243396226414,WORK,-1,15.366703396226415,6.392835094339623,WORK,-1
59,0.001638888888888889,5.9,0.09833333333333334,14.2255,8.438,WAIT_PV,-1,6.390354678244368,12.526691087483082,WORK,-1,5.6378136960180765,1.5775860205253718,WORK,-1,7.673460188679245,6.674937547169811,WORK,-1,10.84170679245283,11.318332075471698,WORK,-1,15.346612075471699,6.394358113207548,WORK,-1
60,0.0016666666666666668,6.0,0.1,14.2255,8.438,WAIT_PV,-1,6.305030457951762,12.474539602063595,WORK,-1,5.547326440641684,1.6201542788224592,WORK,-1,7.674801886792453,6.684475471698113,WORK,-1,10.852767924528303,11.31242075471698,WORK,-1,15.326520754716983,6.3958811320754725,WORK,-1
61,0.0016944444444444446,6.1000000000000005,0.10166666666666667,14.2255,8.438,WAIT_PV,-1,6.219706237659158,12.422388116644107,WORK,-1,5.4568391852652915,1.6627225371195467,WORK,-1,7.6761435849056605,6.694013396226414,WORK,-1,10.863829056603773,11.306509433962264,WORK,-1,15.306429433962265,6.397404150943396,WORK,-1
62,0.0017222222222222222,6.2,0.10333333333333333,14.2255,8.438,WAIT_PV,-1,6.130353094170669,12.377488052627164,WORK,-1,5.366351929888899,1.7052907954166339,WORK,-1,7.677485283018868,6.703551320754716,WORK,-1,10.874890188679245,11.300598113207547,WORK,-1,15.286338113207549,6.39892716981132,WORK,-1
63,0.00175,6.3,0.105,14.2255,8.438,WAIT_PV,-1,6.04099995068218,12.332587988610221,WORK,-1,5.275864674512507,1.7478590537137213,WORK,-1,7.678826981132076,6.713089245283019,WORK,-1,10.885951320754717,11.294686792452831,WORK,-1,15.26624679245283,6.400450188679245,WORK,-1
64,0.0017777777777777779,6.4,0.10666666666666667,14.2255,8.438,WAIT_PV,-1,5.951646807193692,12.287687924593278,WORK,-1,5.1916,1.7875,WORK,-1,7.680168679245283,6.72262716981132,WORK,-1,10.89701245283019,11.288775471698113,WORK,-1,15.246155471698113,6.40197320754717,WORK,-1
